,Team-26,Team-03,Team-27,Team-33,Team-28,Team-06,Team-29,Team-31,Team-16,Team-22,Team-25,Team-05,Team-20,Team-10,Team-14,Team-21,Team-13,Team-32
Team-26,1.0,0.34881896,0.51453614,0.40669388,0.40480065,0.34330013,0.7399292,0.47130555,0.417091,0.40729997,0.40360865,0.4226734,0.5109644,0.23022437,0.69097626,0.51625586,0.49883255,0.4048006
Team-03,0.34881896,1.0000001,0.68135965,0.55938196,0.5558708,0.95710266,0.40502286,0.3440448,0.36703622,0.55206025,0.71850693,0.77480185,0.8400395,0.40844238,0.4441235,0.5217815,0.5911981,0.5558707
Team-27,0.51453614,0.68135965,1.0000001,0.6207797,0.6164968,0.68078715,0.51002824,0.3809284,0.29973435,0.62256885,0.83333594,0.85743475,0.8031068,0.36911035,0.5240587,0.6859226,0.70454574,0.616497
Team-33,0.40669388,0.55938196,0.6207797,0.99999994,0.99914634,0.5603366,0.5249879,0.26231956,0.34867752,0.9823308,0.62308115,0.6518024,0.61402833,0.534232,0.6604481,0.78135276,0.963745,0.99914634
Team-28,0.40480065,0.5558708,0.6164968,0.99914634,0.9999999,0.5575122,0.5238401,0.25518382,0.3433314,0.9830525,0.61669075,0.6485121,0.61057544,0.5303588,0.6588689,0.78310364,0.9649633,0.9999999
Team-06,0.34330013,0.95710266,0.68078715,0.5603366,0.5575122,1.0000002,0.39100978,0.3271507,0.32685906,0.5566895,0.7265079,0.7714028,0.827482,0.39944106,0.44777513,0.5267035,0.5943053,0.5575123
Team-29,0.7399292,0.40502286,0.51002824,0.5249879,0.5238401,0.39100978,1.0000001,0.46546096,0.44923264,0.5069799,0.45834,0.43823063,0.5052534,0.3224706,0.6503291,0.5575081,0.57554775,0.5238401
Team-31,0.47130555,0.3440448,0.3809284,0.26231956,0.25518382,0.3271507,0.46546096,0.99999976,0.27927053,0.23302855,0.42690063,0.31579164,0.4157936,0.06851266,0.5031406,0.32938138,0.3283422,0.2551838
Team-16,0.417091,0.36703622,0.29973435,0.34867752,0.3433314,0.32685906,0.44923264,0.27927053,1.0000001,0.35183975,0.35608518,0.31665766,0.33968025,0.2562418,0.4546146,0.41388702,0.36763632,0.3433314
Team-22,0.40729997,0.55206025,0.62256885,0.9823308,0.9830525,0.5566895,0.5069799,0.23302855,0.35183975,1.0,0.61910903,0.65124124,0.6047273,0.5511406,0.6675484,0.80269545,0.958758,0.9830525
Team-25,0.40360865,0.71850693,0.83333594,0.62308115,0.61669075,0.7265079,0.45834,0.42690063,0.35608518,0.61910903,0.9999999,0.78715706,0.7781354,0.3644187,0.52037966,0.6108482,0.68812954,0.61669075
Team-05,0.4226734,0.77480185,0.85743475,0.6518024,0.6485121,0.7714028,0.43823063,0.31579164,0.31665766,0.65124124,0.78715706,1.0000001,0.78970164,0.36770725,0.5080032,0.63194346,0.70232695,0.64851224
Team-20,0.5109644,0.8400395,0.8031068,0.61402833,0.61057544,0.827482,0.5052534,0.4157936,0.33968025,0.6047273,0.7781354,0.78970164,1.0,0.3747291,0.55538756,0.60804653,0.6761173,0.61057556
Team-10,0.23022437,0.40844238,0.36911035,0.534232,0.5303588,0.39944106,0.3224706,0.06851266,0.2562418,0.5511406,0.3644187,0.36770725,0.3747291,1.0000004,0.41313767,0.4656576,0.51178765,0.530359
Team-14,0.69097626,0.4441235,0.5240587,0.6604481,0.6588689,0.44777513,0.6503291,0.5031406,0.4546146,0.6675484,0.52037966,0.5080032,0.55538756,0.41313767,1.0000001,0.6843721,0.68872666,0.658869
Team-21,0.51625586,0.5217815,0.6859226,0.78135276,0.78310364,0.5267035,0.5575081,0.32938138,0.41388702,0.80269545,0.6108482,0.63194346,0.60804653,0.4656576,0.6843721,1.0000001,0.8576014,0.7831037
Team-13,0.49883255,0.5911981,0.70454574,0.963745,0.9649633,0.5943053,0.57554775,0.3283422,0.36763632,0.958758,0.68812954,0.70232695,0.6761173,0.51178765,0.68872666,0.8576014,1.0,0.9649634
Team-32,0.4048006,0.5558707,0.616497,0.99914634,0.9999999,0.5575123,0.5238401,0.2551838,0.3433314,0.9830525,0.61669075,0.64851224,0.61057556,0.530359,0.658869,0.7831037,0.9649634,0.9999999
